question,option_a,option_b,option_c,option_d,correct,category,difficulty,explanation
"ભારતના પ્રથમ વડાપ્રધાન કોણ હતા?","સરદાર પટેલ","જવાહરલાલ નહેરુ","લાલ બહાદુર શાસ્ત્રી","મોરારજી દેસાઈ",B,દેશભક્તિ,easy,"પંડિત જવાહરલાલ નહેરુ ૧૯૪૭થી વડાપ્રધાન રહ્યા."
"ભારતના પ્રથમ રાષ્ટ્રપતિ કોણ હતા?","ડૉ. રાજેન્દ્ર પ્રસાદ","ડૉ. રાધાકૃષ્ણન","ઝાકિર હુસૈન","વી. વી. ગિરિ",A,દેશભક્તિ,easy,"ડૉ. રાજેન્દ્ર પ્રસાદ પ્રથમ રાષ્ટ્રપતિ હતા."
"ભારતના રાષ્ટ્રધ્વજની રચના કોણે કરી હતી?","પિંગલી વેંકૈયા","રવીન્દ્રનાથ ટાગોર",બંકિમચંદ્ર,"સુભાષચંદ્ર બોઝ",A,દેશભક્તિ,medium,"પિંગલી વેંકૈયાએ ત્રિરંગાની રચના કરી."
"ત્રિરંગાના અશોક ચક્રમાં કેટલા આરા છે?",12,18,24,32,C,દેશભક્તિ,medium,"અશોક ચક્રમાં ૨૪ આરા છે."
"ભારતનું રાષ્ટ્રગીત ""જન ગણ મન"" કોણે લખ્યું?",બંકિમચંદ્ર,"રવીન્દ્રનાથ ટાગોર","સરોજિની નાયડુ","મુહમ્મદ ઇકબાલ",B,દેશભક્તિ,easy,"રવીન્દ્રનાથ ટાગોરે બંગાળીમાં રચ્યું."
"""વંદે માતરમ્"" ગીત કોણે લખ્યું?","રવીન્દ્રનાથ ટાગોર","બંકિમચંદ્ર ચટ્ટોપાધ્યાય","સુભાષચંદ્ર બોઝ","ભારતેન્દુ હરિશ્ચંદ્ર",B,દેશભક્તિ,medium,"આનંદમઠ નવલકથામાં આ ગીત આવે છે."
"""જય જવાન જય કિસાન"" નારો કોણે આપ્યો?","મહાત્મા ગાંધી","લાલ બહાદુર શાસ્ત્રી","ઇન્દિરા ગાંધી","સરદાર પટેલ",B,દેશભક્તિ,medium,"૧૯૬૫માં લાલ બહાદુર શાસ્ત્રીએ આ નારો આપ્યો."
"""તમે મને લોહી આપો, હું તમને આઝાદી આપીશ"" કોણે કહ્યું?",ભગતસિંહ,"સુભાષચંદ્ર બોઝ","ચંદ્રશેખર આઝાદ","બાળ ગંગાધર તિલક",B,દેશભક્તિ,medium,"નેતાજી સુભાષચંદ્ર બોઝનું પ્રસિદ્ધ સૂત્ર."
"""સ્વરાજ મારો જન્મસિદ્ધ અધિકાર છે"" કોણે કહ્યું?","બાળ ગંગાધર તિલક","ગોપાળકૃષ્ણ ગોખલે","લાલા લજપતરાય","બિપિનચંદ્ર પાલ",A,દેશભક્તિ,medium,"લોકમાન્ય તિલકનું પ્રસિદ્ધ સૂત્ર."
"મહાત્મા ગાંધીનો જન્મ કયા શહેરમાં થયો હતો?",રાજકોટ,પોરબંદર,અમદાવાદ,નડિયાદ,B,દેશભક્તિ,easy,"ગાંધીજીનો જન્મ ૨ ઓક્ટોબર ૧૮૬૯ના રોજ પોરબંદરમાં થયો."
"દાંડી કૂચ કયા વર્ષે થઈ હતી?",1920,1930,1942,1946,B,દેશભક્તિ,medium,"૧૨ માર્ચ ૧૯૩૦ના રોજ દાંડી કૂચ શરૂ થઈ."
"દાંડી કૂચ કયા સ્થળેથી શરૂ થઈ હતી?","સાબરમતી આશ્રમ",પોરબંદર,સુરત,ભરૂચ,A,દેશભક્તિ,medium,"અમદાવાદના સાબરમતી આશ્રમથી દાંડી સુધી કૂચ થઈ."
"સરદાર વલ્લભભાઈ પટેલને કયા બિરુદથી ઓળખવામાં આવે છે?","લોખંડી પુરુષ",દેશબંધુ,લોકમાન્ય,નેતાજી,A,દેશભક્તિ,easy,"રજવાડાંના એકીકરણ માટે તેઓ લોખંડી પુરુષ કહેવાય છે."
"સ્ટેચ્યુ ઓફ યુનિટી કોની પ્રતિમા છે?","મહાત્મા ગાંધી","સરદાર પટેલ",ભગતસિંહ,"સુભાષચંદ્ર બોઝ",B,દેશભક્તિ,easy,"નર્મદા કિનારે સરદાર પટેલની પ્રતિમા છે."
"સ્ટેચ્યુ ઓફ યુનિટીની ઊંચાઈ કેટલી છે?","152 મીટર","182 મીટર","210 મીટર","240 મીટર",B,દેશભક્તિ,medium,"૧૮૨ મીટર ઊંચી વિશ્વની સૌથી ઊંચી પ્રતિમા છે."
"ભગતસિંહને ફાંસી કયા વર્ષે આપવામાં આવી?",1929,1931,1935,1942,B,દેશભક્તિ,medium,"૨૩ માર્ચ ૧૯૩૧ના રોજ લાહોરમાં ફાંસી અપાઈ."
"જલિયાંવાલા બાગ હત્યાકાંડ કયા વર્ષે થયો?",1919,1922,1930,1942,A,દેશભક્તિ,hard,"૧૩ એપ્રિલ ૧૯૧૯ના રોજ અમૃતસરમાં થયો."
"ભારત છોડો આંદોલન કયા વર્ષે શરૂ થયું?",1930,1935,1942,1945,C,દેશભક્તિ,medium,"૮ ઓગસ્ટ ૧૯૪૨ના રોજ ગાંધીજીએ આહ્વાન કર્યું."
"૧૮૫૭ના વિપ્લવને શું કહેવામાં આવે છે?","ભારત છોડો આંદોલન","પ્રથમ સ્વાતંત્ર્ય સંગ્રામ","અસહકાર આંદોલન","નમક સત્યાગ્રહ",B,દેશભક્તિ,medium,"૧૮૫૭નો વિપ્લવ પ્રથમ સ્વાતંત્ર્ય સંગ્રામ ગણાય છે."
"ઝાંસીની રાણી તરીકે કોણ પ્રખ્યાત છે?",લક્ષ્મીબાઈ,અહલ્યાબાઈ,દુર્ગાવતી,ચેન્નમ્મા,A,દેશભક્તિ,easy,"રાણી લક્ષ્મીબાઈએ ૧૮૫૭માં અંગ્રેજો સામે લડત આપી."
"ભારતનું રાષ્ટ્રીય પક્ષી કયું છે?",મોર,ગરુડ,હંસ,પોપટ,A,દેશભક્તિ,easy,"મોર ભારતનું રાષ્ટ્રીય પક્ષી છે."
"ભારતનું રાષ્ટ્રીય પ્રાણી કયું છે?",સિંહ,વાઘ,હાથી,હરણ,B,દેશભક્તિ,easy,"બંગાળનો વાઘ રાષ્ટ્રીય પ્રાણી છે."
"ભારતનું રાષ્ટ્રીય ફૂલ કયું છે?",ગુલાબ,કમળ,ચંપો,મોગરો,B,દેશભક્તિ,easy,"કમળ ભારતનું રાષ્ટ્રીય ફૂલ છે."
"ભારતનું રાષ્ટ્રીય ફળ કયું છે?",કેળું,કેરી,સફરજન,જામફળ,B,દેશભક્તિ,medium,"કેરી ભારતનું રાષ્ટ્રીય ફળ છે."
"ભારતનું રાષ્ટ્રીય વૃક્ષ કયું છે?",લીમડો,વડ,પીપળો,આંબો,B,દેશભક્તિ,medium,"વડ ભારતનું રાષ્ટ્રીય વૃક્ષ છે."
"ભારતની રાષ્ટ્રીય નદી કઈ છે?",યમુના,ગંગા,નર્મદા,ગોદાવરી,B,દેશભક્તિ,medium,"ગંગાને ૨૦૦૮માં રાષ્ટ્રીય નદી જાહેર કરાઈ."
"ભારતનું સર્વોચ્ચ વીરતા પુરસ્કાર કયું છે?","મહાવીર ચક્ર","પરમવીર ચક્ર","વીર ચક્ર","અશોક ચક્ર",B,દેશભક્તિ,medium,"પરમવીર ચક્ર સૈન્યનું સર્વોચ્ચ સન્માન છે."
"ભારતનું સર્વોચ્ચ નાગરિક સન્માન કયું છે?","પદ્મ વિભૂષણ","ભારત રત્ન","પદ્મ ભૂષણ","પદ્મ શ્રી",B,દેશભક્તિ,medium,"ભારત રત્ન સર્વોચ્ચ નાગરિક સન્માન છે."
"""સત્યમેવ જયતે"" કયા ગ્રંથમાંથી લેવાયું છે?","ભગવદ્ ગીતા","મુંડક ઉપનિષદ",ઋગ્વેદ,રામાયણ,B,દેશભક્તિ,hard,"મુંડક ઉપનિષદમાંથી લેવાયેલું સૂત્ર છે."
"ભારતનું રાજચિહ્ન કયા સ્થળના સ્તંભ પરથી લેવાયું છે?",સાંચી,સારનાથ,બોધગયા,નાલંદા,B,દેશભક્તિ,hard,"સારનાથના અશોક સ્તંભ પરથી લેવાયું છે."
"ગાંધીજીને સૌપ્રથમ ""રાષ્ટ્રપિતા"" કોણે કહ્યા હતા?",નહેરુ,"સુભાષચંદ્ર બોઝ","સરદાર પટેલ","રાજેન્દ્ર પ્રસાદ",B,દેશભક્તિ,hard,"નેતાજી સુભાષચંદ્ર બોઝે તેમને રાષ્ટ્રપિતા કહ્યા."
"ભારતીય સેના દિવસ કઈ તારીખે ઉજવાય છે?","15 જાન્યુઆરી","26 જુલાઈ","8 ઓક્ટોબર","4 ડિસેમ્બર",A,દેશભક્તિ,medium,"૧૫ જાન્યુઆરીએ સેના દિવસ ઉજવાય છે."
"ભારતની રાજધાની કઈ છે?",મુંબઈ,"નવી દિલ્હી",કોલકાતા,ચેન્નઈ,B,ભારતદર્શન,easy,"નવી દિલ્હી ભારતની રાજધાની છે."
"ગુજરાતની રાજધાની કઈ છે?",અમદાવાદ,ગાંધીનગર,સુરત,વડોદરા,B,ભારતદર્શન,easy,"૧૯૭૦થી ગાંધીનગર ગુજરાતની રાજધાની છે."
"તાજમહેલ કયા શહેરમાં આવેલો છે?",દિલ્હી,આગ્રા,જયપુર,લખનૌ,B,ભારતદર્શન,easy,"યમુના કિનારે આગ્રામાં તાજમહેલ છે."
"તાજમહેલ કોણે બંધાવ્યો હતો?",અકબર,શાહજહાં,ઔરંગઝેબ,હુમાયુ,B,ભારતદર્શન,medium,"શાહજહાંએ મુમતાઝ મહલની યાદમાં બંધાવ્યો."
"ગીર અભયારણ્ય કયા પ્રાણી માટે પ્રખ્યાત છે?",વાઘ,સિંહ,ગેંડો,હાથી,B,ભારતદર્શન,easy,"એશિયાટિક સિંહનું એકમાત્ર કુદરતી નિવાસ ગીર છે."
"સફેદ રણ તરીકે ઓળખાતું કચ્છનું રણ કયા રાજ્યમાં છે?",રાજસ્થાન,ગુજરાત,હરિયાણા,પંજાબ,B,ભારતદર્શન,easy,"કચ્છનું નાનું અને મોટું રણ ગુજરાતમાં છે."
"ક્ષેત્રફળની દૃષ્ટિએ ભારતનું સૌથી મોટું રાજ્ય કયું છે?","મધ્ય પ્રદેશ",રાજસ્થાન,મહારાષ્ટ્ર,"ઉત્તર પ્રદેશ",B,ભારતદર્શન,medium,"રાજસ્થાન ક્ષેત્રફળમાં સૌથી મોટું રાજ્ય છે."
"વસ્તીની દૃષ્ટિએ ભારતનું સૌથી મોટું રાજ્ય કયું છે?",મહારાષ્ટ્ર,બિહાર,"ઉત્તર પ્રદેશ","પશ્ચિમ બંગાળ",C,ભારતદર્શન,medium,"ઉત્તર પ્રદેશની વસ્તી સૌથી વધુ છે."
"ક્ષેત્રફળની દૃષ્ટિએ ભારતનું સૌથી નાનું રાજ્ય કયું છે?",સિક્કિમ,ગોવા,ત્રિપુરા,નાગાલેન્ડ,B,ભારતદર્શન,medium,"ગોવા ક્ષેત્રફળમાં સૌથી નાનું રાજ્ય છે."
"ભારતની સૌથી લાંબી નદી કઈ છે?",યમુના,ગંગા,ગોદાવરી,નર્મદા,B,ભારતદર્શન,medium,"ગંગા આશરે ૨૫૨૫ કિમી લાંબી છે."
"ભારતનું સૌથી ઊંચું પર્વત શિખર કયું છે?","નંદા દેવી",કંચનજંગા,"માઉન્ટ એવરેસ્ટ",ધૌલાગિરિ,B,ભારતદર્શન,hard,"ભારતમાં આવેલું સૌથી ઊંચું શિખર કંચનજંગા છે."
"સૌથી લાંબો દરિયાકિનારો કયા રાજ્યનો છે?",તમિલનાડુ,ગુજરાત,"આંધ્ર પ્રદેશ",મહારાષ્ટ્ર,B,ભારતદર્શન,medium,"ગુજરાતનો દરિયાકિનારો આશરે ૧૬૦૦ કિમી લાંબો છે."
"હવા મહેલ કયા શહેરમાં આવેલો છે?",ઉદયપુર,જયપુર,જોધપુર,બિકાનેર,B,ભારતદર્શન,easy,"ગુલાબી નગરી જયપુરમાં હવા મહેલ છે."
"ચારમિનાર કયા શહેરમાં આવેલો છે?",બેંગલુરુ,હૈદરાબાદ,ચેન્નઈ,પુણે,B,ભારતદર્શન,easy,"હૈદરાબાદનું પ્રતીક ચારમિનાર છે."
"ગેટવે ઓફ ઇન્ડિયા કયા શહેરમાં આવેલો છે?",મુંબઈ,ગોવા,કોચી,ચેન્નઈ,A,ભારતદર્શન,easy,"મુંબઈના દરિયાકિનારે આવેલો છે."
"કોણાર્કનું સૂર્ય મંદિર કયા રાજ્યમાં છે?",ઓડિશા,બિહાર,ઝારખંડ,છત્તીસગઢ,A,ભારતદર્શન,medium,"ઓડિશાના પુરી જિલ્લામાં આવેલું છે."
"સુવર્ણ મંદિર કયા શહેરમાં આવેલું છે?",લુધિયાણા,અમૃતસર,ચંડીગઢ,જલંધર,B,ભારતદર્શન,medium,"હરમંદિર સાહિબ અમૃતસરમાં છે."
"મીનાક્ષી મંદિર કયા શહેરમાં આવેલું છે?",મદુરાઈ,તંજાવુર,કાંચીપુરમ,ત્રિચી,A,ભારતદર્શન,medium,"તમિલનાડુના મદુરાઈમાં આવેલું છે."
"અજંતા અને ઇલોરાની ગુફાઓ કયા રાજ્યમાં છે?","મધ્ય પ્રદેશ",મહારાષ્ટ્ર,કર્ણાટક,ગુજરાત,B,ભારતદર્શન,medium,"ઔરંગાબાદ પાસે મહારાષ્ટ્રમાં આવેલી છે."
"હમ્પીના અવશેષો કયા રાજ્યમાં આવેલા છે?",કર્ણાટક,"આંધ્ર પ્રદેશ",તેલંગાણા,તમિલનાડુ,A,ભારતદર્શન,hard,"વિજયનગર સામ્રાજ્યની રાજધાની હમ્પી કર્ણાટકમાં છે."
"રાણી કી વાવ કયા શહેરમાં આવેલી છે?",પાટણ,સિદ્ધપુર,મોઢેરા,ધોળકા,A,ભારતદર્શન,medium,"પાટણની રાણી કી વાવ યુનેસ્કો વારસાસ્થળ છે."
"ધોળાવીરા કયા જિલ્લામાં આવેલું છે?",કચ્છ,પાટણ,સુરેન્દ્રનગર,મોરબી,A,ભારતદર્શન,hard,"હડપ્પન નગર ધોળાવીરા કચ્છમાં છે."
"મોઢેરાનું સૂર્ય મંદિર કયા જિલ્લામાં છે?",મહેસાણા,પાટણ,બનાસકાંઠા,ગાંધીનગર,A,ભારતદર્શન,medium,"મહેસાણા જિલ્લામાં પુષ્પાવતી નદી કિનારે છે."
"નર્મદા નદી પર બંધાયેલો મોટો બંધ કયો છે?",ઉકાઈ,"સરદાર સરોવર",કડાણા,ધરોઈ,B,ભારતદર્શન,medium,"સરદાર સરોવર બંધ નર્મદા પર છે."
"ગુજરાતનું સૌથી મોટું શહેર કયું છે?",સુરત,અમદાવાદ,વડોદરા,રાજકોટ,B,ભારતદર્શન,easy,"વસ્તીની દૃષ્ટિએ અમદાવાદ સૌથી મોટું છે."
"સાબરમતી આશ્રમ કયા શહેરમાં આવેલો છે?",અમદાવાદ,ગાંધીનગર,નડિયાદ,ખેડા,A,ભારતદર્શન,easy,"સાબરમતી નદી કિનારે અમદાવાદમાં છે."
"સુંદરવન કયા પ્રાણી માટે જાણીતું છે?",સિંહ,વાઘ,ગેંડો,હાથી,B,ભારતદર્શન,medium,"રોયલ બંગાળ ટાઇગરનું નિવાસસ્થાન છે."
"એક શિંગડાવાળા ગેંડા માટે કયું રાષ્ટ્રીય ઉદ્યાન જાણીતું છે?","જિમ કોર્બેટ",કાઝીરંગા,બાંધવગઢ,રણથંભોર,B,ભારતદર્શન,hard,"આસામનું કાઝીરંગા ગેંડા માટે પ્રખ્યાત છે."
"બ્રહ્મપુત્ર નદી મુખ્યત્વે કયા રાજ્યમાં વહે છે?",બિહાર,આસામ,ઓડિશા,"પશ્ચિમ બંગાળ",B,ભારતદર્શન,medium,"આસામની ખીણમાંથી બ્રહ્મપુત્ર વહે છે."
"કેરળની રાજધાની કઈ છે?",કોચી,તિરુવનંતપુરમ,કોઝિકોડ,ત્રિશૂર,B,ભારતદર્શન,medium,"તિરુવનંતપુરમ કેરળની રાજધાની છે."
"ગોવાની રાજધાની કઈ છે?",મડગાંવ,પણજી,વાસ્કો,મપુસા,B,ભારતદર્શન,medium,"પણજી ગોવાની રાજધાની છે."
"ભારતમાં કુલ કેટલા રાજ્યો છે?",26,27,28,29,C,ભારતદર્શન,hard,"હાલ ભારતમાં ૨૮ રાજ્યો અને ૮ કેન્દ્રશાસિત પ્રદેશો છે."
"લક્ષદ્વીપ કયા સમુદ્રમાં આવેલું છે?","બંગાળની ખાડી","અરબી સમુદ્ર","હિંદ મહાસાગર","લાલ સમુદ્ર",B,ભારતદર્શન,medium,"લક્ષદ્વીપ અરબી સમુદ્રમાં આવેલું છે."
"આંદામાન અને નિકોબાર ટાપુઓ કયા સમુદ્રમાં આવેલા છે?","અરબી સમુદ્ર","બંગાળની ખાડી","પેસિફિક મહાસાગર","લાલ સમુદ્ર",B,ભારતદર્શન,medium,"બંગાળની ખાડીમાં આવેલા છે."
"ભારતમાં સૌપ્રથમ સૂર્યોદય કયા રાજ્યમાં થાય છે?",આસામ,"અરુણાચલ પ્રદેશ",મણિપુર,નાગાલેન્ડ,B,ભારતદર્શન,hard,"સૌથી પૂર્વમાં આવેલા અરુણાચલ પ્રદેશમાં."
"ચંદ્રયાન-૩ ચંદ્રના કયા ભાગ પર ઉતર્યું હતું?","ઉત્તર ધ્રુવ","દક્ષિણ ધ્રુવ",વિષુવવૃત્ત,"પાછળનો ભાગ",B,"કરંટ અફેર્સ",easy,"ચંદ્રના દક્ષિણ ધ્રુવ પાસે ઉતરનાર ભારત પ્રથમ દેશ બન્યો."
"ચંદ્રયાન-૩ના લેન્ડરનું નામ શું હતું?",પ્રજ્ઞાન,વિક્રમ,આર્યભટ્ટ,ભાસ્કર,B,"કરંટ અફેર્સ",medium,"લેન્ડરનું નામ વિક્રમ અને રોવરનું નામ પ્રજ્ઞાન હતું."
"ચંદ્રયાન-૩ના રોવરનું નામ શું હતું?",વિક્રમ,પ્રજ્ઞાન,કલ્પના,તેજસ,B,"કરંટ અફેર્સ",medium,"છ પૈડાંવાળું રોવર પ્રજ્ઞાન હતું."
