question,option_a,option_b,option_c,option_d,correct,category,difficulty,explanation
"મીરાંબાઈ કયા ભગવાનની ભક્ત હતાં?",શિવ,કૃષ્ણ,રામ,હનુમાન,B,ધાર્મિકતા,medium,"મીરાંબાઈ શ્રીકૃષ્ણની અનન્ય ભક્ત હતાં."
"બંધારણ સભાના અધ્યક્ષ કોણ હતા?","ડૉ. આંબેડકર","ડૉ. રાજેન્દ્ર પ્રસાદ","જવાહરલાલ નહેરુ","સરદાર પટેલ",B,દેશભક્તિ,medium,"ડૉ. રાજેન્દ્ર પ્રસાદ બંધારણ સભાના અધ્યક્ષ હતા."
"ભારતના પ્રથમ ઉપરાષ્ટ્રપતિ કોણ હતા?","ડૉ. સર્વપલ્લી રાધાકૃષ્ણન","ઝાકિર હુસૈન","વી. વી. ગિરિ","જી. એસ. પાઠક",A,દેશભક્તિ,medium,"ડૉ. રાધાકૃષ્ણન પછીથી રાષ્ટ્રપતિ પણ બન્યા."
"ભારતના પ્રથમ મહિલા વડાપ્રધાન કોણ હતાં?","સરોજિની નાયડુ","ઇન્દિરા ગાંધી","પ્રતિભા પાટીલ","વિજયાલક્ષ્મી પંડિત",B,દેશભક્તિ,easy,"ઇન્દિરા ગાંધી ૧૯૬૬માં વડાપ્રધાન બન્યાં."
"ભારતીય રાષ્ટ્રીય કોંગ્રેસની સ્થાપના કયા વર્ષે થઈ?",1857,1885,1905,1920,B,દેશભક્તિ,medium,"૧૮૮૫માં મુંબઈમાં સ્થાપના થઈ."
"ભારતીય રાષ્ટ્રીય કોંગ્રેસના સ્થાપક કોણ હતા?","દાદાભાઈ નવરોજી","એ. ઓ. હ્યુમ",ગોખલે,તિલક,B,દેશભક્તિ,hard,"એલન ઓક્ટેવિયન હ્યુમે સ્થાપના કરી હતી."
"અસહકાર આંદોલન કયા વર્ષે શરૂ થયું?",1917,1920,1930,1942,B,દેશભક્તિ,medium,"૧૯૨૦માં ગાંધીજીએ અસહકાર આંદોલન શરૂ કર્યું."
"સાયમન કમિશન ભારત કયા વર્ષે આવ્યું?",1919,1928,1935,1942,B,દેશભક્તિ,hard,"૧૯૨૮માં સાયમન કમિશન સામે ""સાયમન ગો બેક"" ના નારા લાગ્યા."
"ચૌરી ચૌરાની ઘટના કયા વર્ષે બની?",1919,1922,1930,1935,B,દેશભક્તિ,hard,"૧૯૨૨ની આ ઘટના પછી ગાંધીજીએ અસહકાર આંદોલન પાછું ખેંચ્યું."
"ભારતના પ્રથમ ફિલ્ડ માર્શલ કોણ હતા?","સામ માણેકશા",કરિઅપ્પા,સુંદરજી,"અરુણ વૈદ્ય",A,દેશભક્તિ,hard,"સામ માણેકશાને ૧૯૭૩માં ફિલ્ડ માર્શલનો દરજ્જો મળ્યો."
"કારગિલ યુદ્ધ કયા વર્ષે થયું?",1965,1971,1999,2001,C,દેશભક્તિ,medium,"૧૯૯૯માં કારગિલમાં ઓપરેશન વિજય ચાલ્યું."
"૧૯૭૧ના યુદ્ધ પછી કયો નવો દેશ બન્યો?",નેપાળ,બાંગ્લાદેશ,ભૂતાન,મ્યાનમાર,B,દેશભક્તિ,medium,"પૂર્વ પાકિસ્તાન બાંગ્લાદેશ બન્યું."
"ભારતીય નૌકાદળ દિવસ કઈ તારીખે ઉજવાય છે?","4 ડિસેમ્બર","15 જાન્યુઆરી","8 ઓક્ટોબર","26 જુલાઈ",A,દેશભક્તિ,hard,"૧૯૭૧ના ઓપરેશન ટ્રાઇડન્ટની યાદમાં ૪ ડિસેમ્બરે."
"ભારતીય વાયુસેના દિવસ કઈ તારીખે ઉજવાય છે?","15 જાન્યુઆરી","8 ઓક્ટોબર","4 ડિસેમ્બર","26 જુલાઈ",B,દેશભક્તિ,hard,"૮ ઓક્ટોબરે વાયુસેના દિવસ ઉજવાય છે."
"કારગિલ વિજય દિવસ કઈ તારીખે ઉજવાય છે?","15 ઓગસ્ટ","26 જુલાઈ","8 ઓક્ટોબર","4 ડિસેમ્બર",B,દેશભક્તિ,medium,"૨૬ જુલાઈ ૧૯૯૯ના વિજયની યાદમાં."
"પ્રજાસત્તાક દિને ધ્વજ કોણ ફરકાવે છે?",વડાપ્રધાન,રાષ્ટ્રપતિ,ઉપરાષ્ટ્રપતિ,"સંરક્ષણ મંત્રી",B,દેશભક્તિ,medium,"૨૬ જાન્યુઆરીએ રાષ્ટ્રપતિ ધ્વજ ફરકાવે છે."
"સ્વતંત્રતા દિને લાલ કિલ્લા પરથી ધ્વજ કોણ ફરકાવે છે?",રાષ્ટ્રપતિ,વડાપ્રધાન,ગૃહમંત્રી,"દિલ્હીના મુખ્યમંત્રી",B,દેશભક્તિ,medium,"૧૫ ઓગસ્ટે વડાપ્રધાન લાલ કિલ્લા પરથી ધ્વજ ફરકાવે છે."
"ભારતના બંધારણમાં મૂળભૂત અધિકારો કેટલા છે?",5,6,7,9,B,દેશભક્તિ,hard,"હાલ છ મૂળભૂત અધિકારો છે."
"ભારતની સંસદનાં બે ગૃહ કયાં છે?","લોકસભા અને રાજ્યસભા","વિધાનસભા અને વિધાન પરિષદ","લોકસભા અને વિધાનસભા","રાજ્યસભા અને સેનેટ",A,દેશભક્તિ,medium,"લોકસભા નીચલું અને રાજ્યસભા ઉપલું ગૃહ છે."
"ભારતના સર્વોચ્ચ ન્યાયાલયનું સ્થાન કયું છે?",મુંબઈ,"નવી દિલ્હી",કોલકાતા,ચેન્નઈ,B,દેશભક્તિ,medium,"સુપ્રીમ કોર્ટ નવી દિલ્હીમાં છે."
"ગુજરાત રાજ્યની સ્થાપના કઈ તારીખે થઈ?","1 મે 1960","15 ઓગસ્ટ 1947","26 જાન્યુઆરી 1950","1 નવેમ્બર 1956",A,દેશભક્તિ,medium,"૧ મે ૧૯૬૦ના રોજ ગુજરાત અલગ રાજ્ય બન્યું."
"""સરફરોશી કી તમન્ના"" પંક્તિ કોની છે?",ભગતસિંહ,"રામપ્રસાદ બિસ્મિલ","અશફાકુલ્લા ખાન","ચંદ્રશેખર આઝાદ",B,દેશભક્તિ,hard,"રામપ્રસાદ બિસ્મિલની આ પ્રસિદ્ધ પંક્તિ છે."
"ચંદ્રશેખર આઝાદનું મૂળ અટક શું હતી?",તિવારી,શર્મા,મિશ્રા,પાંડે,A,દેશભક્તિ,hard,"તેમનું નામ ચંદ્રશેખર તિવારી હતું."
"કાકોરી ટ્રેન કાંડ કયા વર્ષે થયો?",1919,1925,1930,1942,B,દેશભક્તિ,hard,"૧૯૨૫માં કાકોરી પાસે ટ્રેન લૂંટવાની ઘટના બની."
"ભગતસિંહ સાથે બીજા કયા બે ક્રાંતિકારીઓને ફાંસી અપાઈ?","રાજગુરુ અને સુખદેવ","આઝાદ અને બિસ્મિલ","અશફાક અને રોશન","ઉધમસિંહ અને બટુકેશ્વર",A,દેશભક્તિ,medium,"રાજગુરુ અને સુખદેવને પણ ૨૩ માર્ચ ૧૯૩૧ના રોજ ફાંસી અપાઈ."
"૧૮૫૭ના વિપ્લવની શરૂઆત કોણે કરી મનાય છે?","મંગલ પાંડે","તાત્યા ટોપે","નાના સાહેબ","બહાદુર શાહ",A,દેશભક્તિ,medium,"બેરકપુરમાં મંગલ પાંડેએ પ્રથમ બંડ પોકાર્યું."
"""દિલ્હી ચલો"" નારો કોણે આપ્યો હતો?",ગાંધીજી,"સુભાષચંદ્ર બોઝ",નહેરુ,ભગતસિંહ,B,દેશભક્તિ,medium,"આઝાદ હિંદ ફોજને નેતાજીએ આ નારો આપ્યો."
"ગાંધીજીએ કોને પોતાના રાજકીય ગુરુ માન્યા હતા?",તિલક,"ગોપાળકૃષ્ણ ગોખલે","દાદાભાઈ નવરોજી","લાલા લજપતરાય",B,દેશભક્તિ,medium,"ગાંધીજી ગોખલેને રાજકીય ગુરુ માનતા."
"ગાંધીજી દક્ષિણ આફ્રિકાથી ભારત કયા વર્ષે પરત આવ્યા?",1909,1915,1919,1920,B,દેશભક્તિ,hard,"૧૯૧૫માં ગાંધીજી ભારત પરત આવ્યા."
"ચંપારણ સત્યાગ્રહ કયા વર્ષે થયો?",1915,1917,1920,1922,B,દેશભક્તિ,hard,"૧૯૧૭માં બિહારના ચંપારણમાં ગળીના ખેડૂતો માટે."
"ખેડા સત્યાગ્રહ કયા રાજ્યમાં થયો હતો?",બિહાર,ગુજરાત,મહારાષ્ટ્ર,પંજાબ,B,દેશભક્તિ,medium,"ગુજરાતના ખેડા જિલ્લામાં ૧૯૧૮માં થયો."
"બારડોલી સત્યાગ્રહ કયા વર્ષે થયો?",1918,1928,1930,1942,B,દેશભક્તિ,hard,"૧૯૨૮ના બારડોલી સત્યાગ્રહ પછી પટેલ ""સરદાર"" કહેવાયા."
"ભારત છોડો આંદોલનનું સૂત્ર શું હતું?","કરો યા મરો","જય હિંદ","વંદે માતરમ્","ઇન્કલાબ ઝિંદાબાદ",A,દેશભક્તિ,medium,"ગાંધીજીએ ""કરો યા મરો"" નું આહ્વાન કર્યું."
"આઝાદી વખતે ભારતના વાઇસરોય કોણ હતા?","લોર્ડ વેવેલ","લોર્ડ માઉન્ટબેટન","લોર્ડ લિનલિથગો","લોર્ડ ઇરવિન",B,દેશભક્તિ,hard,"લોર્ડ માઉન્ટબેટન છેલ્લા વાઇસરોય હતા."
"સ્વતંત્ર ભારતના છેલ્લા ગવર્નર જનરલ કોણ હતા?",માઉન્ટબેટન,"સી. રાજગોપાલાચારી","રાજેન્દ્ર પ્રસાદ",નહેરુ,B,દેશભક્તિ,hard,"સી. રાજગોપાલાચારી છેલ્લા ગવર્નર જનરલ હતા."
"જય હિંદ નો નારો કોણે આપ્યો હતો?",ગાંધીજી,"સુભાષચંદ્ર બોઝ",નહેરુ,પટેલ,B,દેશભક્તિ,medium,"આઝાદ હિંદ ફોજનું અભિવાદન ""જય હિંદ"" હતું."
"ભારતનું રાષ્ટ્રીય પંચાંગ કયું છે?","વિક્રમ સંવત","શક સંવત",હિજરી,ગ્રેગોરિયન,B,દેશભક્તિ,medium,"૧૯૫૭થી શક સંવત રાષ્ટ્રીય પંચાંગ છે."
"બંધારણ મુજબ લોકસભાના સભ્યોની મહત્તમ સંખ્યા કેટલી છે?",500,543,552,600,C,દેશભક્તિ,hard,"બંધારણ મુજબ વધુમાં વધુ ૫૫૨ સભ્યો હોઈ શકે."
"ભારતના રાષ્ટ્રપતિનું નિવાસસ્થાન કયું છે?","રાષ્ટ્રપતિ ભવન","લાલ કિલ્લો","હૈદરાબાદ હાઉસ","સંસદ ભવન",A,દેશભક્તિ,medium,"નવી દિલ્હીનું રાષ્ટ્રપતિ ભવન."
"NCC નું પૂરું નામ શું છે?","National Cadet Corps","National Civil Corps","National Command Corps","National Cadet Council",A,દેશભક્તિ,medium,"નેશનલ કેડેટ કોર."
"સરદાર પટેલની જન્મજયંતી કયા દિવસ તરીકે ઉજવાય છે?","રાષ્ટ્રીય એકતા દિવસ","બંધારણ દિવસ","યુવા દિવસ","શિક્ષક દિવસ",A,દેશભક્તિ,medium,"૩૧ ઓક્ટોબરે રાષ્ટ્રીય એકતા દિવસ ઉજવાય છે."
"જમ્મુ અને કાશ્મીરની ઉનાળુ રાજધાની કઈ છે?",જમ્મુ,શ્રીનગર,લેહ,ઉધમપુર,B,ભારતદર્શન,medium,"ઉનાળામાં શ્રીનગર અને શિયાળામાં જમ્મુ રાજધાની રહે છે."
"હૈદરાબાદ કયા રાજ્યની રાજધાની છે?","આંધ્ર પ્રદેશ",તેલંગાણા,કર્ણાટક,ઓડિશા,B,ભારતદર્શન,medium,"હૈદરાબાદ તેલંગાણાની રાજધાની છે."
"અમરનાથની ગુફા કયા રાજ્યમાં આવેલી છે?","હિમાચલ પ્રદેશ","જમ્મુ અને કાશ્મીર",ઉત્તરાખંડ,લદ્દાખ,B,ભારતદર્શન,medium,"જમ્મુ-કાશ્મીરમાં આશરે ૩૮૮૦ મીટરની ઊંચાઈએ."
"ઉત્તરાખંડની ચાર ધામ યાત્રામાં કયું સ્થળ નથી?",યમુનોત્રી,ગંગોત્રી,પુરી,બદ્રીનાથ,C,ભારતદર્શન,hard,"છોટા ચાર ધામ - યમુનોત્રી, ગંગોત્રી, કેદારનાથ અને બદ્રીનાથ."
"ગંગા નદીનું ઉદ્ગમ સ્થાન કયું છે?",ગંગોત્રી,યમુનોત્રી,માનસરોવર,અમરકંટક,A,ભારતદર્શન,medium,"ઉત્તરાખંડના ગંગોત્રી હિમનદમાંથી ગંગા નીકળે છે."
"ગોદાવરી નદીનું ઉદ્ગમ સ્થાન કયું છે?",અમરકંટક,ત્ર્યંબકેશ્વર,મહાબળેશ્વર,ગંગોત્રી,B,ભારતદર્શન,hard,"મહારાષ્ટ્રના ત્ર્યંબકેશ્વરમાંથી ગોદાવરી નીકળે છે."
"દક્ષિણ ભારતની સૌથી લાંબી નદી કઈ છે?",કૃષ્ણા,ગોદાવરી,કાવેરી,તુંગભદ્રા,B,ભારતદર્શન,medium,"ગોદાવરીને દક્ષિણ ગંગા પણ કહે છે."
"ભારતનું સૌથી મોટું મીઠા પાણીનું સરોવર કયું છે?",ચિલ્કા,વુલર,સાંભર,લોકટક,B,ભારતદર્શન,hard,"જમ્મુ-કાશ્મીરનું વુલર સરોવર સૌથી મોટું મીઠા પાણીનું સરોવર છે."
"થાર રણ મુખ્યત્વે કયા રાજ્યમાં આવેલું છે?",ગુજરાત,રાજસ્થાન,હરિયાણા,પંજાબ,B,ભારતદર્શન,medium,"થાર રણનો મોટો ભાગ રાજસ્થાનમાં છે."
"હાવડા બ્રિજ કયા શહેરમાં આવેલો છે?",મુંબઈ,કોલકાતા,પટના,ગુવાહાટી,B,ભારતદર્શન,medium,"હુગલી નદી પર કોલકાતામાં આવેલો છે."
"વિક્ટોરિયા મેમોરિયલ કયા શહેરમાં છે?",દિલ્હી,કોલકાતા,મુંબઈ,ચેન્નઈ,B,ભારતદર્શન,medium,"કોલકાતાનું જાણીતું સ્મારક છે."
"ઇન્ડિયા ગેટ કયા શહેરમાં આવેલો છે?",મુંબઈ,"નવી દિલ્હી",જયપુર,લખનૌ,B,ભારતદર્શન,easy,"પ્રથમ વિશ્વયુદ્ધના શહીદોની યાદમાં નવી દિલ્હીમાં."
"કુતુબ મિનાર કયા શહેરમાં આવેલો છે?",આગ્રા,દિલ્હી,લખનૌ,ભોપાલ,B,ભારતદર્શન,medium,"દિલ્હીનો કુતુબ મિનાર યુનેસ્કો વારસાસ્થળ છે."
"લાલ કિલ્લો કોણે બંધાવ્યો હતો?",અકબર,શાહજહાં,ઔરંગઝેબ,બાબર,B,ભારતદર્શન,medium,"શાહજહાંએ દિલ્હીમાં લાલ કિલ્લો બંધાવ્યો."
"ફતેહપુર સિકરી કોણે વસાવ્યું હતું?",બાબર,અકબર,શાહજહાં,હુમાયુ,B,ભારતદર્શન,hard,"અકબરે ફતેહપુર સિકરીને રાજધાની બનાવી હતી."
"ખજુરાહોનાં મંદિરો કયા રાજ્યમાં આવેલાં છે?",ઓડિશા,"મધ્ય પ્રદેશ",રાજસ્થાન,ગુજરાત,B,ભારતદર્શન,medium,"મધ્ય પ્રદેશના છતરપુર જિલ્લામાં આવેલાં છે."
"સાંચીનો સ્તૂપ કયા રાજ્યમાં આવેલો છે?",બિહાર,"મધ્ય પ્રદેશ","ઉત્તર પ્રદેશ",મહારાષ્ટ્ર,B,ભારતદર્શન,hard,"સમ્રાટ અશોકે બંધાવેલો સ્તૂપ મધ્ય પ્રદેશમાં છે."
"પ્રાચીન નાલંદા વિશ્વવિદ્યાલય કયા રાજ્યમાં હતી?",બિહાર,"ઉત્તર પ્રદેશ",બંગાળ,ઓડિશા,A,ભારતદર્શન,medium,"બિહારમાં આવેલી નાલંદા વિશ્વની પ્રાચીન વિશ્વવિદ્યાલય હતી."
"જિમ કોર્બેટ રાષ્ટ્રીય ઉદ્યાન કયા રાજ્યમાં છે?",ઉત્તરાખંડ,"ઉત્તર પ્રદેશ","હિમાચલ પ્રદેશ","મધ્ય પ્રદેશ",A,ભારતદર્શન,medium,"ભારતનું પ્રથમ રાષ્ટ્રીય ઉદ્યાન ઉત્તરાખંડમાં છે."
"ભારતનું પ્રથમ રાષ્ટ્રીય ઉદ્યાન કયું છે?",કાન્હા,"જિમ કોર્બેટ",ગીર,રણથંભોર,B,ભારતદર્શન,hard,"૧૯૩૬માં સ્થપાયેલું જિમ કોર્બેટ પ્રથમ છે."
"રણથંભોર રાષ્ટ્રીય ઉદ્યાન કયા રાજ્યમાં છે?","મધ્ય પ્રદેશ",રાજસ્થાન,ગુજરાત,મહારાષ્ટ્ર,B,ભારતદર્શન,medium,"રાજસ્થાનના સવાઈ માધોપુર જિલ્લામાં."
"સૌથી વધુ વાઘ ધરાવતું રાજ્ય કયું છે?",કર્ણાટક,"મધ્ય પ્રદેશ",ઉત્તરાખંડ,મહારાષ્ટ્ર,B,ભારતદર્શન,hard,"મધ્ય પ્રદેશને ""ટાઇગર સ્ટેટ"" કહેવાય છે."
"વિશ્વનો સૌથી મોટો ડેલ્ટા કયો છે?","નાઇલ ડેલ્ટા",સુંદરવન,"મિસિસિપી ડેલ્ટા","કાવેરી ડેલ્ટા",B,ભારતદર્શન,hard,"ગંગા-બ્રહ્મપુત્રનો સુંદરવન ડેલ્ટા સૌથી મોટો છે."
"અરુણાચલ પ્રદેશની રાજધાની કઈ છે?",ઇટાનગર,કોહિમા,આઇઝોલ,શિલોંગ,A,ભારતદર્શન,medium,"ઇટાનગર અરુણાચલ પ્રદેશની રાજધાની છે."
"સિક્કિમની રાજધાની કઈ છે?",ગંગટોક,શિલોંગ,ઇમ્ફાલ,અગરતલા,A,ભારતદર્શન,medium,"ગંગટોક સિક્કિમની રાજધાની છે."
"આસામની રાજધાની કઈ છે?",ગુવાહાટી,દિસપુર,જોરહાટ,સિલચર,B,ભારતદર્શન,medium,"દિસપુર આસામની રાજધાની છે."
